id,ragioneSociale,partitaIva,numeroDocumento,dataDocumento,importoTotale,registrata
1,Alpha Corp,12345678901,DOC001,2023-10-01,1000,Si
2,Beta Industries,23456789012,DOC002,2023-10-02,1500,No
3,Gamma Solutions,34567890123,DOC003,2023-10-03,2000,Si
4,Delta Enterprises,45678901234,DOC004,2023-10-04,2500,No
5,Epsilon LLC,56789012345,DOC005,2023-10-05,3000,Si
6,Zeta Group,67890123456,DOC006,2023-10-06,3500,No
7,Theta Technologies,78901234567,DOC007,2023-10-07,4000,Si
8,Iota Services,89012345678,DOC008,2023-10-08,4500,No
9,Kappa Innovations,90123456789,DOC009,2023-10-09,5000,Si
10,Lambda Holdings,01234567890,DOC010,2023-10-10,5500,No
11,Mu Corporation,12345678901,DOC011,2023-10-11,6000,Si
12,Nu Group,23456789012,DOC012,2023-10-12,6500,No
13,Xi Solutions,34567890123,DOC013,2023-10-13,7000,Si
14,Omicron Enterprises,45678901234,DOC014,2023-10-14,7500,No
15,Psi LLC,56789012345,DOC015,2023-10-15,8000,Si
16,Rho Industries,67890123456,DOC016,2023-10-16,8500,No
17,Sigma Corp,78901234567,DOC017,2023-10-17,9000,Si
18,Tau Technologies,89012345678,DOC018,2023-10-18,9500,No
19,Upsilion Services,90123456789,DOC019,2023-10-19,10000,Si
20,Phi Innovations,01234567890,DOC020,2023-10-20,10500,No
21,Chi Holdings,12345678901,DOC021,2023-10-21,11000,Si
22,Psi Group,23456789012,DOC022,2023-10-22,11500,No
23,Omega Solutions,34567890123,DOC023,2023-10-23,12000,Si
24,AlphaTech,45678901234,DOC024,2023-10-24,12500,No
25,BetaWorks,56789012345,DOC025,2023-10-25,13000,Si
26,GammaCorp,67890123456,DOC026,2023-10-26,13500,No
27,DeltaTech,78901234567,DOC027,2023-10-27,14000,Si
28,EpsilonWorks,89012345678,DOC028,2023-10-28,14500,No
29,ZetaCorp,90123456789,DOC029,2023-10-29,15000,Si
30,ThetaGroup,01234567890,DOC030,2023-10-30,15500,No
31,IotaIndustries,12345678901,DOC031,2023-10-31,16000,Si
32,KappaSolutions,23456789012,DOC032,2023-11-01,16500,No
33,LambdaEnterprises,34567890123,DOC033,2023-11-02,17000,Si
34,MuCorp,45678901234,DOC034,2023-11-03,17500,No
35,NuTech,56789012345,DOC035,2023-11-04,18000,Si
36,XiWorks,67890123456,DOC036,2023-11-05,18500,No
37,OmicronGroup,78901234567,DOC037,2023-11-06,19000,Si
38,PsiIndustries,89012345678,DOC038,2023-11-07,19500,No
39,RhoSolutions,90123456789,DOC039,2023-11-08,20000,Si
40,SigmaEnterprises,01234567890,DOC040,2023-11-09,20500,No
41,TauCorp,12345678901,DOC041,2023-11-10,21000,Si
42,UpsilionTech,23456789012,DOC042,2023-11-11,21500,No
43,PhiWorks,34567890123,DOC043,2023-11-12,22000,Si
44,ChiGroup,45678901234,DOC044,2023-11-13,22500,No
45,PsiSolutions,56789012345,DOC045,2023-11-14,23000,Si
46,OmegaTech,67890123456,DOC046,2023-11-15,23500,No
47,AlphaWorks,78901234567,DOC047,2023-11-16,24000,Si
48,BetaCorp,89012345678,DOC048,2023-11-17,24500,No
49,GammaGroup,90123456789,DOC049,2023-11-18,25000,Si
50,DeltaSolutions,01234567890,DOC050,2023-11-19,25500,No
51,Quantum Innovations,12345678901,DOC051,2023-11-20,26000,Si
52,Neutron Dynamics,23456789012,DOC052,2023-11-21,26500,No
53,Photon Technologies,34567890123,DOC053,2023-11-22,27000,Si
54,Electron Solutions,45678901234,DOC054,2023-11-23,27500,No
55,Proton Enterprises,56789012345,DOC055,2023-11-24,28000,Si
56,Atomics LLC,67890123456,DOC056,2023-11-25,28500,No
57,Nucleus Group,78901234567,DOC057,2023-11-26,29000,Si
58,Galaxy Innovations,89012345678,DOC058,2023-11-27,29500,No
59,Stellar Solutions,90123456789,DOC059,2023-11-28,30000,Si
60,Comet Enterprises,01234567890,DOC060,2023-11-29,30500,No
61,Astral Corp,12345678901,DOC061,2023-11-30,31000,Si
62,Cosmic Technologies,23456789012,DOC062,2023-12-01,31500,No
63,Orbit Innovations,34567890123,DOC063,2023-12-02,32000,Si
64,Asteroid Group,45678901234,DOC064,2023-12-03,32500,No
65,Satellite Solutions,56789012345,DOC065,2023-12-04,33000,Si
66,Planetary Enterprises,67890123456,DOC066,2023-12-05,33500,No
67,Universal LLC,78901234567,DOC067,2023-12-06,34000,Si
68,Galactic Innovations,89012345678,DOC068,2023-12-07,34500,No
69,Interstellar Group,90123456789,DOC069,2023-12-08,35000,Si
70,Space Dynamics,01234567890,DOC070,2023-12-09,35500,No
71,Void Technologies,12345678901,DOC071,2023-12-10,36000,Si
72,Blackhole Solutions,23456789012,DOC072,2023-12-11,36500,No
73,Supernova Enterprises,34567890123,DOC073,2023-12-12,37000,Si
74,Quasar Corp,45678901234,DOC074,2023-12-13,37500,No
75,Event Horizon LLC,56789012345,DOC075,2023-12-14,38000,Si
